Giorno,Shot,Beam_Type,N_Blobs,Compactness
20260422,172,Collimated,20,1.87E+15
20260422,173,Multiple,30,3.47E+16
20260422,174,Multiple,20,4.19E+16
20260422,175,Multiple,20,2.30E+16
20260422,176,Multiple,30,1.49E+16
20260422,177,Diffused,10,2.78E+15
20260422,178,Collimated,10,1.26E+15
20260422,179,Multiple,20,2.26E+16
20260422,180,Multiple,20,2.57E+16
20260422,181,Diffused,10,3.34E+15
20260422,182,Null,,
20260422,183,Multiple,20,3.37E+15
20260422,184,Collimated,10,2.63E+15
20260422,185,Collimated,10,2.35E+15
20260422,186,Collimated,10,2.56E+15
20260422,187,Diffused,20,3.86E+15
20260422,188,Diffused,10,3.42E+14
20260422,189,Multiple,20,3.25E+16
20260422,190,Multiple,20,2.41E+16
20260422,191,Multiple,20,1.58E+15
20260422,192,Multiple,20,2.71E+15
20260422,193,Diffused,,
20260422,194,Multiple,20,2.81E+16
20260422,195,Collimated,10,2.65E+16
20260422,196,Multiple,20,1.86E+16
20260422,197,Diffused,10,4.84E+15
20260422,198,Collimated,10,3.71E+16
20260422,199,Collimated,10,3.45E+16
20260422,200,Multiple,10,2.55E+16
20260422,201,Multiple,20,2.30E+16
20260422,202,Collimated,10,3.01E+16
20260422,203,Collimated,10,2.40E+16
20260422,204,Null,,
20260422,205,Multiple,20,3.70E+16
20260422,206,Null,,
20260422,207,Collimated,10,5.78E+15
20260422,208,Collimated,10,5.07E+15
20260422,209,Collimated,10,4.41E+15
20260422,210,Collimated,10,3.36E+15
20260422,211,Collimated,10,3.88E+16
20260422,212,Multiple,20,3.37E+16
20260422,213,Diffused,10,3.50E+15
20260422,214,Collimated,10,7.45E+15
20260422,215,Collimated,,
20260422,216,Null,,
20260422,217,Null,,
20260422,218,Null,,
20260422,219,Null,,
20260422,220,Null,,
20260423,2,Collimated,,
20260423,3,Multiple,10,3.74E+15
20260423,4,Collimated,10,4.27E+16
20260423,5,Multiple,10,5.91E+14
20260423,6,Multiple,20,4.58E+15
20260423,7,Null,,
20260423,8,Collimated,10,4.16E+15
20260423,9,Multiple,20,4.73E+15
20260423,10,Collimated,10,4.41E+15
20260423,11,Collimated,10,3.68E+15
20260423,12,Collimated,10,3.81E+15
20260423,13,Multiple,10,2.65E+15
20260423,14,Collimated,10,2.72E+16
20260423,15,Collimated,,
20260423,16,Collimated,10,4.47E+16
20260423,17,Multiple,20,4.36E+16
20260423,18,Collimated,10,4.32E+16
20260423,19,Null,,
20260423,20,Collimated,10,3.51E+16
20260423,21,Multiple,10,2.84E+15
20260423,22,Null,,
20260423,23,Null,,
20260423,24,Collimated,10,3.05E+14
20260423,25,Multiple,10,3.64E+15
20260423,26,Collimated,10,4.05E+14
20260423,27,Null,,
20260423,28,Null,0,0
20260423,29,Multiple,20,2.47E+15
20260423,30,Null,0,0
20260423,31,Null,,
20260423,32,Null,,
20260423,33,Collimated,10,2.27E+15
20260423,34,Collimated,10,2.64E+16
20260423,35,Null,0,0
20260423,36,Null,,
20260423,37,Null,,
20260423,38,Multiple,30,2.10E+16
20260423,39,Multiple,,
20260423,40,Multiple,10,2.94E+16
20260423,41,Collimated,10,2.19E+16
20260423,42,Collimated,10,3.07E+15
20260423,43,Null,,
20260423,44,Collimated,10,4.17E+15
20260423,45,Multiple,30,3.97E+15
20260423,46,Multiple,20,3.92E+15
20260423,47,Multiple,20,4.27E+16
20260423,48,Multiple,20,3.80E+16
20260423,49,Multiple,30,3.35E+16
20260423,50,Collimated,10,3.78E+16
20260423,51,Multiple,20,3.57E+15
20260423,52,Collimated,10,4.20E+16
20260423,53,Multiple,20,5.02E+15
20260423,54,Multiple,10,3.71E+16
20260423,55,Collimated,10,3.47E+16
20260423,56,Multiple,10,4.85E+15
20260423,57,Multiple,20,3.25E+14
20260423,58,Multiple,20,3.32E+16
